variable,missing_rate
happy,0.003928576427608281
gini,0.10431723487941323
unemployment_rate,0.10038865845180495
agea,0.004945713792475983
hinctnta,0.19847242764560694
evmar,0.7725998124361373
gini_lag1,0.26178689572475705
