metric,value
n_macro_rows,375
n_micro_rows_filtered,214327
n_analysis_rows,214327
country_year_match_share,0.9083333333333333
missing_rate_gini_main,0.10431723487941323
missing_rate_unemployment_main,0.10038865845180495
missing_rate_gini_lag1,0.26178689572475705
missing_rate_unemployment_lag1,0.265365539572709
n_complete_case_model,37190
